"Data Source","World Development Indicators",

"Last Updated Date","2017-01-03",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Eritrea","ERI","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","750","870","1080","1140","1230","1330","1350","1340","1280","1370","1380","1310","1320","1360","1360","1380","1240","1270","1290","1400","","","","","",
"Spain","ESP","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13590","14370","14770","14980","15420","16340","17010","18010","19220","20200","21790","22970","24390","25130","26200","27470","30320","32010","32820","32200","31920","31970","32010","32690","33490","34510","",
"Estonia","EST","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9340","10050","11250","12520","13940","15910","18300","20330","21330","19590","19990","22750","24880","26570","27440","27230","",
"Ethiopia","ETH","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","420","390","350","390","400","420","460","470","450","460","490","520","530","510","580","650","720","810","890","950","1050","1160","1250","1370","1500","1620","",
"European Union","EUU","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14857.3655982566","15542.3188069729","16032.9734897648","16355.8791961212","17176.1336451597","18001.165469151","18746.4019766911","19615.9583312896","20504.019850293","21284.3726104841","22725.9577729507","23884.1338013522","24747.4477662499","25402.3426873115","26663.9347485667","27959.3960163099","30261.1998893181","31933.7485486764","33122.7737668651","32424.0068739008","33344.2715254736","34634.3884761478","35220.8150415176","36175.7573280877","36905.3256537478","37660.4660715698","",
"Fragile and conflict affected situations","FCS","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1787.9432905688","1367.46217832461","1459.03205478666","1578.30397572668","1630.83053014504","1676.10403038957","1781.16789145496","1919.38382630872","2156.85248253307","2301.49410954582","2355.5165686848","2418.70516076021","2358.02970259479","2200.9051737798","2566.18558747284","2783.8492382701","3019.28907150886","3197.74987444421","3386.85615946235","3470.84656382107","3607.67340909601","3400.80077899487","3631.3012636116","3674.75925776717","3862.45476320033","3875.96850263116","",
"Finland","FIN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17590","16830","16320","16410","17470","18720","19370","21250","22820","24260","26300","27530","28510","28650","31300","32200","34830","37620","39800","38020","38840","40430","40650","41090","41080","41330","",
"Fiji","FJI","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3670","3680","3930","4050","4230","4490","4770","4670","4670","5120","5390","5450","5800","5920","6390","6710","6630","6800","6920","6950","6980","7260","7440","8100","8480","8850","",
"France","FRA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17580","18330","18990","19260","20020","20780","21490","22500","23630","24750","26460","27920","28790","28440","29450","30910","32920","34740","35890","35420","36620","38180","37990","39700","39820","40270","",
"Faroe Islands","FRO","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
